category,rating,text,label
Home_and_Kitchen,5.0,"Love this!  Well made, sturdy, and very comfortable.  I love it!Very pretty",1
Home_and_Kitchen,5.0,"love it, a great upgrade from the original.  I've had mine for a couple of years",1
Home_and_Kitchen,5.0,This pillow saved my back. I love the look and feel of this pillow.,1
Home_and_Kitchen,1.0,"Missing information on how to use it, but it is a great product for the price!  I",1
Home_and_Kitchen,5.0,Very nice set. Good quality. We have had the set for two months now and have not been,1
Home_and_Kitchen,3.0,I WANTED DIFFERENT FLAVORS BUT THEY ARE NOT.,1
Home_and_Kitchen,5.0,They are the perfect touch for me and the only thing I wish they had a little more space.,1
Home_and_Kitchen,3.0,These done fit well and look great.  I love the smoothness of the edges and the extra,1
Home_and_Kitchen,5.0,"Great big numbers & easy to read, the only thing I didn't like is the size of the",1
Home_and_Kitchen,5.0,My son loves this comforter and it is very well made.  We also have a baby,1
Home_and_Kitchen,5.0,As advertised. 5th one I've had. The only problem is that it's not really a,1
Home_and_Kitchen,5.0,Very handy for one of my kids and the tools are included in the package. I have one in,1
Home_and_Kitchen,5.0,"Did someone say, ""Oriental for $60""?  It is a great product for the",1
Home_and_Kitchen,1.0,These are so flimsy! They are not the quality you would expect from a piece of furniture.,1
Home_and_Kitchen,5.0,Makes may tea with out stirring. The only problem is that it's kind of hard to put,1
Home_and_Kitchen,5.0,Absolutely adorable! And excellent price. We have had the wooden ones for a few months now and they,1
Home_and_Kitchen,5.0,Love this!  Perfect size for an entire family!Very good quality.,1
Home_and_Kitchen,5.0,These look beautiful and so nice. The only problem is that it's not really a mesh one.,1
Home_and_Kitchen,5.0,Exactly what you would expect. I love the look and feel of this pillow.,1
Home_and_Kitchen,5.0,"10 Stars, I would highly recommend this item. We love this blanket.",1
Home_and_Kitchen,5.0,Great little egg masher.  We have had it for a few months now and it's been,1
Home_and_Kitchen,5.0,"As advertised.  Easy to use.  Love the colors.  Also, the dimensions are just",1
Home_and_Kitchen,5.0,it is exactly as pictured. I love the look and feel of this pillow.,1
Home_and_Kitchen,5.0,"Fantastic, just what I wanted!!!  I love the look and feel of this pillow.",1
Home_and_Kitchen,5.0,"Supposed to come with extra hardware. The only problem is that it's not really a vacuum,",1
Home_and_Kitchen,5.0,Easy to use. Seems to be an easy way to make a smoothie for a small person.,1
Home_and_Kitchen,2.0,Not what I am accustomed to. The only reason I gave it 4 stars is because I just can,1
Home_and_Kitchen,5.0,"Nice product & seller. Yes, it is a very thin plastic piece. However, the handle has",1
Home_and_Kitchen,5.0,So good we bought the second set and they look just like the first one. I am not sure,1
Home_and_Kitchen,5.0,Wonderful aroma throughout the house.  The only problem is that it's kind of hard to put,1
Home_and_Kitchen,5.0,Received in no time flat.  I love the look.  My husband likes it too.,1
Home_and_Kitchen,3.0,These are okay they are not as nice as the ones I got from my local store but they are,1
Home_and_Kitchen,3.0,gave them away - thought it would be a good addition to my kitchen!  I am very,1
Home_and_Kitchen,4.0,"Product is fine, wish it had an option to have a separate handle.",1
Home_and_Kitchen,5.0,"Awesome is all I have to say, the materials are good, and the quality is decent.",1
Home_and_Kitchen,3.0,Way too heavy for everyday use. The only reason I gave it 4 stars is because the one we,1
Home_and_Kitchen,5.0,"Well made, works great.  We have had the wooden part of the cup for a couple of",1
Home_and_Kitchen,5.0,Bought these to go with my old suction cups. I also love that they are removable and,1
Home_and_Kitchen,5.0,Just as expected! Looks great and has the design to make it a nice place for the baby to,1
Home_and_Kitchen,1.0,"Awful experience, everything stuck, cooked evenly. The only problem is that it's not really a",1
Home_and_Kitchen,5.0,Does a great job of keeping the suction on. I also love that it doesn't slide.,1
Home_and_Kitchen,2.0,"SHEET COLOR IS NICE BUY FOR MY SIZE FOR MY TOWN.
",1
Home_and_Kitchen,5.0,Save $ on these instead of the original shipping box. I will keep my money!Very pretty.,1
Home_and_Kitchen,5.0,"These towels are real nice, and I love the feel of them.  They have a nice feel",1
Home_and_Kitchen,5.0,"Works great, easy to clean, and easy to clean. I will be purchasing more!Very pretty",1
Home_and_Kitchen,3.0,"Alright for the price,but was a little disappointed with the quality of the product.",1
Home_and_Kitchen,4.0,"Great quality, beautiful color.  We have had the same one for a few months now and love",1
Home_and_Kitchen,1.0,I put paper in one corner of the cabinet and put a piece of paper in the other corner.,1
Home_and_Kitchen,5.0,Great stickers but a little small. The only reason I gave it 4 stars is because the one in,1
Home_and_Kitchen,5.0,Great quality and the fabric looks great.  It is thick enough to hold a small amount of coffee,1
Home_and_Kitchen,5.0,Perfect. They do exactly what I need them to do. I will keep them for a long time,1
Home_and_Kitchen,5.0,Love this movie & the time it took to finish. I will keep my review for the next time,1
Home_and_Kitchen,1.0,"Will not seal properly. Atrocious little ones, they feel like they will break if you throw",1
Home_and_Kitchen,5.0,Got these for the third time.  I have a small dog and my son loves to throw them,1
Home_and_Kitchen,5.0,Excellent product and a much better quality than the one you get at Walmart for $50.,1
Home_and_Kitchen,5.0,"These are just perfect, exactly what I was looking for.",0
Home_and_Kitchen,5.0,Such a great purchase can't beat it for the price,0
Home_and_Kitchen,5.0,What can you say--- cheap and it works as intended.,0
